gsis_id,player_name,position,team,projected_season_ppr,weekly_sum_ppr,game_weeks,expected_games,overall_rank_board,position_rank_board,vorp_rank,adp_rank,actual_ppr,prior_ppr,pred_overall_rank,pred_pos_rank,actual_overall_rank,actual_pos_rank
00-0039139,Jahmyr Gibbs,RB,DET,225.45,225.45,17,13.003205128205128,25,2,5,4.0,366.9,354.9,27,2,4.0,3.0
00-0031408,Mike Evans,WR,TB,225.31,225.31,17,13.788461538461538,30,13,27,40.0,84.8,240.4,28,13,170.0,67.0
00-0039849,Marvin Harrison,WR,ARI,224.21,224.21,17,13.788461538461538,33,14,30,44.0,127.8,196.5,29,14,110.0,43.0
00-0036410,Tee Higgins,WR,CIN,223.26,223.26,17,13.788461538461538,34,15,31,30.0,211.6,222.1,30,15,51.0,14.0
00-0036554,Nico Collins,WR,HOU,220.31,220.31,17,13.788461538461538,36,16,33,13.0,226.2,210.6,31,16,40.0,8.0
00-0038543,Jaxon Smith-Njigba,WR,SEA,219.89,219.89,17,13.788461538461538,37,17,34,33.0,359.9,253.0,32,17,7.0,2.0
00-0037238,Drake London,WR,ATL,218.97,218.97,17,13.788461538461538,38,18,35,17.0,201.9,280.8,33,18,57.0,17.0
00-0036912,DeVonta Smith,WR,PHI,218.39,218.39,17,13.788461538461538,39,19,36,55.0,201.8,199.4,34,19,58.0,18.0
00-0033077,Dak Prescott,QB,DAL,217.96,217.96,17,13.298076923076923,29,14,130,94.0,313.78000000000003,116.52,35,14,15.0,6.0
00-0036264,Jordan Love,QB,GB,217.01,217.01,17,13.298076923076923,32,15,131,132.0,235.14,233.86,36,15,34.0,14.0
00-0039361,Bucky Irving,RB,TB,216.88,216.88,17,13.003205128205128,27,3,9,24.0,138.5,244.4,37,3,99.0,27.0
00-0033288,George Kittle,TE,SF,213.09,213.09,17,13.041666666666666,31,1,11,37.0,161.5,236.6,38,1,89.0,10.0
00-0037740,Garrett Wilson,WR,NYJ,212.27,212.27,17,13.788461538461538,42,20,40,41.0,99.5,251.9,39,20,150.0,56.0
00-0037248,James Cook,RB,BUF,208.04,208.04,17,13.003205128205128,35,4,14,28.0,302.2,266.7,40,4,18.0,6.0
00-0034827,D.J. Moore,WR,CHI,204.77,204.77,17,13.788461538461538,46,21,47,,172.18,238.1,41,21,83.0,30.0
00-0038542,Bijan Robinson,RB,ATL,203.22,203.22,17,13.003205128205128,40,5,16,2.0,370.8,341.7,42,5,3.0,2.0
00-0039163,C.J. Stroud,QB,HOU,203.17,203.17,17,13.298076923076923,43,16,144,126.0,208.54,220.38,43,16,54.0,20.0
00-0038597,Chase Brown,RB,CIN,201.88,201.88,17,13.003205128205128,41,6,17,22.0,282.6,255.0,44,6,24.0,7.0
00-0035659,Terry McLaurin,WR,WAS,201.06,201.06,17,13.788461538461538,49,22,52,39.0,114.2,267.8,45,22,132.0,48.0
00-0036212,Tua Tagovailoa,QB,MIA,201.06,201.06,17,13.298076923076923,45,17,148,173.0,160.7,181.58,45,17,91.0,23.0
00-0039064,Zay Flowers,WR,BAL,199.08,199.08,17,13.788461538461538,51,23,53,61.0,243.3,209.5,47,23,30.0,7.0
00-0037840,Kyren Williams,RB,LA,197.26,197.26,17,13.003205128205128,44,7,19,25.0,263.3,272.1,48,7,28.0,9.0
00-0035640,DK Metcalf,WR,SEA,194.96,194.96,17,13.788461538461538,57,24,54,48.0,187.2,191.2,49,24,66.0,23.0
00-0036971,Trevor Lawrence,QB,JAX,193.12,193.12,17,13.298076923076923,50,18,154,157.0,338.18,145.7,50,18,10.0,4.0
00-0033906,Alvin Kamara,RB,NO,192.06,192.06,17,13.003205128205128,47,8,22,36.0,100.7,265.3,51,8,147.0,37.0
00-0030565,Geno Smith,QB,SEA,191.87,191.87,17,13.298076923076923,53,19,157,190.0,173.9,266.0,52,19,81.0,22.0
00-0036223,Jonathan Taylor,RB,IND,190.03,190.03,17,13.003205128205128,48,9,23,18.0,362.3,246.7,53,9,6.0,4.0
00-0038994,Jordan Addison,WR,MIN,189.04,189.04,17,13.788461538461538,61,25,59,91.0,135.1,212.5,54,25,103.0,41.0
00-0038134,Kenneth Walker,RB,SEA,187.71,187.71,17,13.003205128205128,52,10,25,43.0,191.9,181.2,55,10,63.0,19.0
00-0037744,Trey McBride,TE,ARI,185.33,185.33,17,13.041666666666666,55,2,24,27.0,315.9,243.8,56,2,14.0,1.0
00-0034844,Saquon Barkley,RB,PHI,184.85,184.85,17,13.003205128205128,54,11,28,3.0,232.3,355.3,57,11,35.0,13.0
00-0038120,Breece Hall,RB,NYJ,184.45,184.45,17,13.003205128205128,56,12,29,38.0,207.66,240.9,58,12,55.0,18.0
00-0031280,Derek Carr,QB,NO,183.58,183.58,17,13.298076923076923,59,20,176,,,150.9,59,20,,
00-0034348,Courtland Sutton,WR,DEN,181.92,181.92,17,13.788461538461538,65,26,65,51.0,219.7,240.3,60,26,45.0,12.0
00-0035685,David Montgomery,RB,DET,181.13,181.13,17,13.003205128205128,58,13,32,58.0,166.92,221.72,61,13,85.0,23.0
00-0030279,Keenan Allen,WR,CHI,180.28,180.28,17,13.788461538461538,67,27,68,145.0,182.7,184.4,62,27,71.0,26.0
00-0039919,Rome Odunze,WR,CHI,178.67,178.67,17,13.788461538461538,69,28,69,77.0,146.1,144.9,63,28,94.0,36.0
00-0033553,James Conner,RB,ARI,178.39,178.39,17,13.003205128205128,60,14,37,47.0,33.3,253.8,64,14,257.0,62.0
00-0037247,George Pickens,WR,PIT,177.18,177.18,17,13.788461538461538,71,29,71,68.0,291.9,164.4,65,29,21.0,5.0
00-0037240,Jameson Williams,WR,DET,176.87,176.87,17,13.788461538461538,72,30,73,57.0,219.9,212.2,66,30,44.0,11.0
00-0026498,Matthew Stafford,QB,LA,175.93,175.93,17,13.298076923076923,63,21,188,178.0,350.38,214.58,67,21,9.0,3.0
00-0039851,Drake Maye,QB,NE,175.65,175.65,17,13.298076923076923,64,22,191,122.0,351.96,177.14,68,22,8.0,2.0
00-0036407,Jerry Jeudy,WR,CLE,175.14,175.14,17,13.788461538461538,76,31,77,74.0,120.7,240.9,69,31,122.0,45.0
00-0039338,Brock Bowers,TE,LV,174.28,174.28,17,13.041666666666666,62,3,38,19.0,176.2,262.7,70,3,80.0,9.0
00-0032764,Derrick Henry,RB,BAL,170.72,170.72,17,13.003205128205128,66,15,42,10.0,279.5,336.4,71,15,25.0,8.0
00-0036613,Jaylen Waddle,WR,MIA,170.72,170.72,17,13.788461538461538,81,32,79,72.0,194.12,149.6,71,32,61.0,21.0
00-0036252,Michael Pittman,WR,IND,170.43,170.43,17,13.788461538461538,82,33,80,108.0,202.4,165.8,73,33,56.0,16.0
00-0023459,Aaron Rodgers,QB,NYJ,169.54,169.54,17,13.298076923076923,75,23,209,210.0,227.08,256.58,74,23,38.0,16.0
00-0035261,Tony Pollard,RB,TEN,169.36,169.36,17,13.003205128205128,68,16,44,66.0,185.8,200.7,75,16,67.0,20.0
00-0039065,Sam LaPorta,TE,DET,168.6,168.6,17,13.041666666666666,70,4,41,52.0,106.9,174.6,76,4,141.0,23.0
00-0030506,Travis Kelce,TE,KC,166.65,166.65,17,13.041666666666666,73,5,43,63.0,193.2,195.4,77,5,62.0,3.0
00-0039040,Devon Achane,RB,MIA,166.1,166.1,17,13.003205128205128,74,17,45,,322.8,299.9,78,17,12.0,5.0
00-0036555,Chuba Hubbard,RB,CAR,164.99,164.99,17,13.003205128205128,77,18,48,46.0,125.4,241.6,79,18,115.0,29.0
